productType,variantId,sku,prices,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,ingredients,calories,proteins,fats,carbohydrates,weight,allergens,isVegan,isSpicy,variantKey
main,1,A0E200000001AAA,USD 1200,All;Sushi;phila,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/phila_salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/phila_salmon_02.webp",Philadelphia with salmon,Philadelphia with salmon sushi,phila-salmon,,,,"Rice, salmon fillet, cream cheese, cucumber, nori seaweed, microgreens, soy sauce, ginger, wasabi.",498,29,22,43,350,"milk",FALSE,FALSE,A0E200000001AAA
main,1,A0E200000001AAB,USD 1700,All;Sushi;phila,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/dragon_eel_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/dragon_eel_02.webp",Dragon with eel and black rice,Dragon with eel and black rice sushi,dragon-eel,,,,"Rice, cuttlefish ink, cream cheese, eel, roasted pepper, cucumber, red tobiko caviar, nori, unagi sauce, soy sauce, ginger, wasabi.",495,17,27,43,335,"milk,soy,pepper,cuttlefish ink",FALSE,FALSE,A0E200000001AAB
main,1,A0E2000000001AAC,USD 1200,All;Sushi;phila,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/cheese_salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/cheese_salmon_02.webp",Cheese roll with salmon and shrimp,Cheese roll with salmon and shrimp sushi,cheese-salmon,,,,"Rice, cheddar cheese, salmon, cream cheese, shrimp, tamago omelet, cucumber, unagi sauce, parmesan cheese, nori, soy sauce, ginger, wasabi.",568,33,26,48,345,"cheese,egg,milk,soy",FALSE,FALSE,A0E2000000001AAC
main,1,A0E200000001AAD,USD 1700,All;Sushi;phila,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/dragon_salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/dragon_salmon_02.webp",Dragon with salmon avocado and tomago omelette,Dragon with salmon avocado and tomato omelette sushi,dragon-salmon,,,,"Rice, salmon, snow crab, tomago omelet, cucumber, avocado, red masago caviar, Japanese mayonnaise, nori, soy sauce, ginger, wasabi",534,36,22,47,370,"egg,soy",FALSE,FALSE,A0E200000001AAD
main,1,A0E200000001AAE,USD 1000,All;Sushi;baked,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/baked-shrimp-crab_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/baked-shrimp-crab_02.webp",Roll baked with shrimp and snow crab,Roll baked with shrimp and snow crab,baked-shrimp-crab,,,,"Rice, snow crab, cream cheese, shrimp, red masago caviar, avocado, unagi sauce, Japanese mayonnaise, fried sesame, nori, soy sauce, ginger, wasabi",409,22,16,45,335,"egg,milk,soy,sesame",FALSE,FALSE,A0E200000001AAE
main,1,A0E200000002AAA,USD 1200,All;Sushi;baked,https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/baked-salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/baked-salmon_02.webp,Warm California roll with smoked salmon,Warm California roll with smoked salmon,baked-salmon,,,,"Rice, cream cheese, smoked salmon, Japanese omelet, mozzarella, sesame, spicy sauce, unagi sauce, Japanese mayonnaise, nori seaweed",663,32,37,47,390,"egg,milk,soy,sesame",FALSE,FALSE,A0E200000002AAA
main,1,A0E200000002AAB,USD 500,All;Sushi;maki,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-eel_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-eel_02.webp",Maci with eel,Maci with eel sushi,maki-eel,,,,"Rice, Eel, Unagi Sauce, Nori Seaweed, Soy Sauce, Ginger, Wasabi.Rice, Eel, Unagi Sauce, Nori Seaweed, Soy Sauce, Ginger, Wasabi",247,10,10,29,130,,FALSE,FALSE,A0E200000002AAB
main,1,A0E2000000002AAC,USD 500,All;Sushi;maki,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-tuna_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-tuna_02.webp",Maki with tuna,Maki with tuna ,maki-tuna,,,,"Rice, tuna, nori seaweed, soy sauce, ginger, wasabi",201,16,3,26,130,,FALSE,FALSE,A0E2000000002AAC
main,1,A0E200000002AAD,USD 200,All;Sushi;maki,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-cucumber_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-cucumber_02.webp",Maci with cucumber,Maci with cucumber,maki-cucumber,,,,"Rice, cucumber, nori seaweed, soy sauce, ginger, wasabi",178,5,1,35,120,,TRUE,FALSE,A0E200000002AAD
main,1,A0E200000002AAE,USD 500,All;Sushi;maki,"https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-salmon_01.webp;https://raw.githubusercontent.com/Tedzury/imageStorageRepo/main/img/maki-salmon_02.webp",Maki with salmon,Maki with salmon,maki-salmon,,,,"Rice, salmon, nori seaweed, soy sauce, ginger, wasabi",202,14,4,26,140,,FALSE,FALSE,A0E200000002AAE
